Year,County,Surgery,# of Cases (ICD 10)
2013,Los Angeles,Rectum,1
2013,Los Angeles,Colon,2
2013,Los Angeles,Stomach,1
2013,Los Angeles,Rectum,1
2013,Los Angeles,Colon,2
2013,Los Angeles,Breast,1
2013,Los Angeles,Stomach,22
2013,Los Angeles,Rectum,24
2013,Los Angeles,Esophagus,12
2013,Los Angeles,Bladder,40
2013,Los Angeles,Colon,34
2013,Los Angeles,Brain,142
2013,Los Angeles,Breast,180
2013,Los Angeles,Liver,37
2013,Los Angeles,Lung,79
2013,Los Angeles,Pancreas,42
2013,Los Angeles,Prostate,120
2013,Los Angeles,Pancreas,2
2013,Los Angeles,Stomach,6
2013,Los Angeles,Prostate,1
2013,Los Angeles,Lung,6
2013,Los Angeles,Liver,4
2013,Los Angeles,Colon,18
2013,Los Angeles,Brain,3
2013,Los Angeles,Bladder,3
2013,Los Angeles,Rectum,8
2013,Los Angeles,Breast,53
2013,Los Angeles,Stomach,1
2013,Los Angeles,Lung,3
2013,Los Angeles,Colon,7
2013,Los Angeles,Breast,29
2013,Los Angeles,Bladder,1
2013,Los Angeles,Prostate,14
2013,Los Angeles,Lung,3
2013,Los Angeles,Stomach,4
2013,Los Angeles,Rectum,8
2013,Los Angeles,Colon,14
2013,Los Angeles,Breast,46
2013,Los Angeles,Brain,8
2013,Los Angeles,Bladder,1
2013,Los Angeles,Stomach,1
2013,Los Angeles,Rectum,4
2013,Los Angeles,Lung,8
2013,Los Angeles,Esophagus,2
2013,Los Angeles,Colon,16
2013,Los Angeles,Breast,77
2013,Los Angeles,Brain,9
2013,Los Angeles,Rectum,7
2013,Los Angeles,Colon,11
2013,Los Angeles,Breast,12
2013,Los Angeles,Stomach,1
2013,Los Angeles,Rectum,4
2013,Los Angeles,Lung,2
2013,Los Angeles,Colon,19
2013,Los Angeles,Breast,65
2013,Los Angeles,Brain,1
2013,Los Angeles,Stomach,16
2013,Los Angeles,Rectum,18
2013,Los Angeles,Prostate,23
2013,Los Angeles,Pancreas,3
2013,Los Angeles,Lung,6
2013,Los Angeles,Liver,6
2013,Los Angeles,Esophagus,1
2013,Los Angeles,Colon,30
2013,Los Angeles,Breast,116
2013,Los Angeles,Brain,24
2013,Los Angeles,Bladder,6
2013,Los Angeles,Stomach,14
2013,Los Angeles,Rectum,25
2013,Los Angeles,Prostate,12
2013,Los Angeles,Pancreas,15
2013,Los Angeles,Lung,8
2013,Los Angeles,Liver,19
2013,Los Angeles,Breast,142
2013,Los Angeles,Brain,63
2013,Los Angeles,Bladder,13
2013,Los Angeles,Colon,48
2013,Los Angeles,Esophagus,2
2013,Los Angeles,Pancreas,2
2013,Los Angeles,Stomach,10
2013,Los Angeles,Rectum,12
2013,Los Angeles,Prostate,15
2013,Los Angeles,Liver,4
2013,Los Angeles,Esophagus,1
2013,Los Angeles,Bladder,12
2013,Los Angeles,Breast,111
2013,Los Angeles,Colon,35
2013,Los Angeles,Lung,5
2013,Los Angeles,Stomach,2
2013,Los Angeles,Rectum,14
2013,Los Angeles,Prostate,5
2013,Los Angeles,Liver,3
2013,Los Angeles,Colon,39
2013,Los Angeles,Breast,237
2013,Los Angeles,Bladder,4
2013,Los Angeles,Prostate,361
2013,Los Angeles,Stomach,23
2013,Los Angeles,Rectum,35
2013,Los Angeles,Esophagus,44
2013,Los Angeles,Colon,34
2013,Los Angeles,Lung,35
2013,Los Angeles,Liver,87
2013,Los Angeles,Breast,97
2013,Los Angeles,Pancreas,32
2013,Los Angeles,Brain,51
2013,Los Angeles,Bladder,135
2013,Los Angeles,Rectum,9
2013,Los Angeles,Stomach,4
2013,Los Angeles,Prostate,4
2013,Los Angeles,Pancreas,1
2013,Los Angeles,Liver,1
2013,Los Angeles,Colon,68
2013,Los Angeles,Breast,262
2013,Los Angeles,Bladder,3
2013,Los Angeles,Rectum,13
2013,Los Angeles,Prostate,252
2013,Los Angeles,Lung,34
2013,Los Angeles,Colon,41
2013,Los Angeles,Breast,231
2013,Los Angeles,Bladder,3
2013,Los Angeles,Esophagus,2
2013,Los Angeles,Pancreas,3
2013,Los Angeles,Stomach,12
2013,Los Angeles,Colon,13
2013,Los Angeles,Rectum,3
2013,Los Angeles,Stomach,3
2013,Los Angeles,Lung,3
2013,Los Angeles,Breast,3
2013,Los Angeles,Brain,3
2013,Madera,Colon,8
2013,Madera,Breast,28
2013,Marin,Prostate,1
2013,Marin,Colon,32
2013,Marin,Breast,144
2013,Marin,Bladder,3
2013,Marin,Stomach,1
2013,Marin,Rectum,5
2013,Marin,Prostate,22
2013,Marin,Lung,1
2013,Marin,Liver,1
2013,Marin,Colon,17
2013,Marin,Breast,137
2013,Marin,Brain,9
2013,Marin,Bladder,1
2013,Marin,Rectum,1
2013,Marin,Colon,2
2013,Marin,Breast,14
2013,Mendocino,Breast,1
2013,Mendocino,Colon,1
2013,Mendocino,Breast,13
2013,Mendocino,Lung,2
2013,Mendocino,Rectum,1
